DATA_MEDICAO,INSOLACAO_TOTAL_H,NEBULOSIDADE_MEDIA_DECIMOS,PRECIPITACAO_TOTAL_MM,TEMP_MAX_MEDIA_C,TEMP_MEDIA_COMP_C,TEMP_MIN_MEDIA_C,UMIDADE_MEDIA_PCT
2019-07-31,160.1,6.3,88.1,17.1,12.0,8.6,76.6
2019-08-31,206.7,5.3,104.1,19.9,13.1,8.6,75.2
2019-09-30,183.8,6.0,102.5,20.9,14.9,10.7,78.5
2019-10-31,145.7,7.1,299.0,23.2,18.1,14.2,81.0
2019-11-30,183.8,6.1,199.1,24.9,19.2,15.2,77.3
2019-12-31,268.8,4.3,61.5,28.3,21.7,17.0,64.5
2020-01-31,206.3,6.0,154.7,27.2,21.6,17.8,75.1
2020-02-29,235.8,4.5,,26.8,20.9,17.3,
2020-03-31,275.6,3.7,10.7,28.0,21.5,17.3,70.3
2020-04-30,222.1,4.4,29.9,22.7,17.0,13.1,70.1
2020-05-31,214.0,4.4,146.1,20.0,14.6,11.1,70.6
2020-06-30,137.2,6.0,188.3,18.7,14.2,10.8,79.1
2020-07-31,155.4,6.1,399.3,17.1,12.0,8.4,76.9
2020-08-31,196.0,4.5,115.3,20.9,14.7,10.3,70.5
2020-09-30,154.0,6.8,142.9,22.1,16.0,11.4,78.2
2020-10-31,204.4,5.5,68.5,23.9,17.7,13.0,74.2
2020-11-30,219.1,5.3,52.0,25.0,18.7,13.9,72.1
2020-12-31,205.2,5.7,135.9,26.5,20.6,16.7,75.0
2021-01-31,164.4,6.7,276.9,26.9,21.5,17.8,77.1
2021-02-28,,4.8,,26.2,20.7,17.3,
2021-03-31,180.6,6.9,128.4,25.0,20.1,17.0,82.1
2021-04-30,239.4,4.7,13.6,23.6,17.8,14.2,74.4
2021-05-31,194.8,4.5,217.2,18.6,13.0,9.6,78.6
2021-06-30,112.6,6.6,179.1,15.9,12.1,9.1,83.6
2021-07-31,218.6,3.8,28.8,18.1,12.6,8.5,67.1
2021-08-31,165.6,5.6,148.5,20.9,15.1,10.9,76.4
2021-09-30,155.0,6.8,173.9,21.3,16.0,12.0,81.7
2021-10-31,196.9,5.8,130.0,22.4,16.7,12.8,75.4
2021-11-30,230.9,5.4,51.0,24.9,18.9,14.6,72.8
2021-12-31,246.6,5.2,30.8,27.3,20.8,16.2,70.0
2022-01-31,221.7,5.8,115.2,30.1,23.4,18.9,68.6
2022-02-28,219.8,3.3,,28.7,22.4,17.7,
2022-03-31,162.1,6.8,242.5,24.8,19.4,15.9,81.2
2022-04-30,151.4,6.2,135.2,21.9,17.1,13.5,79.9
2022-05-31,,6.8,287.7,16.4,12.5,9.9,
