PAIS,COD_PAIS,ANO_2010,ANO_2011,ANO_2012,ANO_2013,ANO_2014,ANO_2015,ANO_2016,ANO_2017,ANO_2018,ANO_2019,ANO_2020,ANO_2021,ANO_2022,ANO_2023
Montenegro,MNE,4142983843.0,4544428421.0,4087526241.0,4465772400.0,4593853290.0,4054730077.0,4376930578.0,4856599480.0,5506942238.0,5542054181.0,4769996866.0,5861427505.0,6229801580.0,7530593375.0
Moçambique,MOZ,11411894723.0,14619279988.0,16688114144.0,17198073057.0,17978246586.0,16208985769.0,12069051237.0,13264640645.0,15017358952.0,15512759046.0,14235420174.0,16168055475.0,18883528581.0,20954220983.0
Mauritânia,MRT,5628878797.0,6764627745.0,6728208836.0,7223071097.0,6592537781.0,6166863896.0,6398747592.0,6800135898.0,7473550557.0,7894764885.0,8260752385.0,9222536364.0,9557966698.0,10651709411.0
Maláui,MWI,10128323010.0,11648142958.0,8773203178.0,8031571927.0,8801326169.0,9219474379.0,7909868618.0,8943543793.0,9879231591.0,11051865579.0,11769313597.0,12378129750.0,12429060150.0,12712150082.0
Malásia,MYS,255017638455.0,297951668674.0,314443047642.0,323276235524.0,338066095097.0,301355266964.0,301256033870.0,319109094160.0,358788845712.0,365177721021.0,337456163961.0,373784823672.0,407605841348.0,399705169318.0
Namíbia,NAM,11431412421.0,12523359440.0,13042053591.0,12043307277.0,12435430969.0,11335161083.0,10722018732.0,12895153370.0,13682019076.0,12541928303.0,10583748541.0,12402486183.0,12567271004.0,12351025066.0
Nova Caledônia,NCL,9364350076.0,10351448004.0,9659151917.0,10151382933.0,10635035594.0,8738203074.0,8724568954.0,9174048681.0,9896402283.0,9475655324.0,9454629467.0,10071349663.0,9623318718.0,
Nigéria,NGA,366990417129.0,414466676831.0,463971018239.0,520117180313.0,574183763411.0,493026682800.0,404649125252.0,375745731053.0,421739251509.0,474517490844.0,432198898467.0,440833635873.0,477403400101.0,363846332834.0
Nicarágua,NIC,8758572306.0,9774320144.0,10531980451.0,10982954744.0,11880433902.0,12756685550.0,13286101094.0,13785924216.0,13025234820.0,12699028889.0,12681569254.0,14144060853.0,15649897116.0,17829218219.0
Países Baixos,NLD,852464982433.0,913140741332.0,845689017065.0,883951539006.0,901556501756.0,775743675302.0,797163949289.0,848233537845.0,929733599796.0,928903005576.0,932560861701.0,1054472123449.0,1046540797548.0,1154361305398.0
Noruega,NOR,431052143940.0,501360549669.0,512777309840.0,526014468085.0,501736471832.0,388159512245.0,370956547619.0,401745275035.0,439788625883.0,408742840909.0,367633418886.0,503367986030.0,593726965415.0,485310823603.0
Nova Zelândia,NZL,146517541181.0,168295307149.0,176210710655.0,190909855416.0,201337554959.0,178104220784.0,188898209220.0,206566916732.0,211846555690.0,212846907683.0,212697530897.0,253644079784.0,246733522841.0,252175506110.0
Omã,OMN,64993498049.0,77497529258.0,87408842652.0,89936020806.0,92699089726.0,78710793237.0,75128738621.0,80856697009.0,91505851755.0,88060858257.0,75909492847.0,87323797139.0,111943823146.0,108810923276.0
Panamá,PAN,30231009500.0,35687738300.0,41595439700.0,46949496500.0,51427104900.0,55767806100.0,59760858700.0,64327688800.0,67316471200.0,69778991200.0,57059846500.0,67396392500.0,76276116700.0,83318176900.0
